316.0,49.0,0.8,2048
467.0,47.0,0.9,2048
1102.0,50.0,3.23,3072
1244.0,50.0,4.43,3447.47
1661.0,50.0,4.6,4096
3061.0,50.0,7.53,15257.6
4074.0,50.0,11.17,26965.33
4820.0,50.0,27.7,21613.03
4916.0,50.0,44.53,143401.93
651.0,100.0,1.17,2048
969.0,95.0,1.83,2048
1859.0,100.0,5.2,3072
2330.0,100.0,6.17,4096
2617.0,100.0,6.23,4096
4493.0,100.0,12.2,16179.2
6105.0,100.0,17.77,28910.93
8826.0,100.0,36.83,32225.57
9546.0,100.0,67.87,164826.57
1104.0,497.0,4.53,2048
1625.0,498.0,4.83,2048
4382.0,500.0,8.4,4096
5247.0,500.0,10.37,5120
6031.0,500.0,12.93,6144
12052.0,500.0,35.43,23552
15794.0,500.0,44.33,44987.73
29917.0,500.0,115.9,109941.27
37129.0,500.0,272.27,321338.83
1743.0,1000.0,4.8,2048
2639.0,1000.0,5.13,2048
5896.0,1000.0,11.97,5120
7217.0,1000.0,16.6,6144
8178.0,1000.0,19.6,8192
16259.0,1000.0,46.9,33792
22977.0,1000.0,67.83,64512
45973.0,1000.0,229.63,207976.37
60197.0,1000.0,496.53,515615.77
2367.0,2497.0,5.8,3072
5090.0,4993.0,10.17,4096
12750.0,5000.0,30.97,11264
15357.0,5000.0,39.03,18432
17903.0,5000.0,43.37,22528
38642.0,5000.0,153.93,99454.1
55162.0,5000.0,251.73,198025.37
118033.0,5000.0,1101.47,995174.17
160200.0,5000.0,2443.97,1972429.57
2597.0,2570.0,8.67,3072
4986.0,5382.0,15.33,5120
18149.0,10000.0,44.63,22528
22588.0,10000.0,55.83,32768
25900.0,10000.0,66.13,43008
57029.0,10000.0,256.87,197786.93
81193.0,10000.0,450.7,395222.93
171520.0,10000.0,2437.63,1971703.2
238999.0,10000.0,4596.07,3942887.07
2377.0,2267.0,46.83,11264
4976.0,5138.0,55.37,21504
24587.0,24612.0,162.67,101994.6
36999.0,36423.0,203.5,153659.33
49292.0,49082.0,260.87,205400.57
129491.0,50000.0,1098.2,1024608.73
185156.0,50000.0,2194.13,2049042.67
2703.0,2632.0,55.27,26624
5050.0,5278.0,76.7,52224
25046.0,25052.0,236.97,255471
37069.0,37922.0,339.5,383471
49288.0,50272.0,443.07,511627
178208.0,100000.0,2126.67,2561793.67
