316,49,11,92429,
316,49,11,89358,
316,49,11,89351,
316,49,11,92423,
316,49,11,89359,
316,49,11,88331,
316,49,11,88328,
316,49,11,88323,
316,49,11,89357,
316,49,11,94472,
316,49,10,89350,
316,49,11,89355,
316,49,10,92435,
316,49,13,94487,
316,49,13,89349,
316,49,11,89355,
316,49,11,89355,
316,49,11,89350,
316,49,11,89355,
316,49,11,89355,
316,49,11,89360,
316,49,11,89354,
316,49,12,88329,
316,49,11,89346,
316,49,11,89352,
316,49,11,89356,
316,49,11,89358,
316,49,11,89360,
316,49,10,89358,
316,49,15,89354,
467,47,22,90378,
467,47,22,90381,
467,47,22,89356,
467,47,22,90379,
467,47,22,90379,
467,47,21,90372,
467,47,21,90574,
467,47,22,90374,
467,47,21,90382,
467,47,21,90380,
467,47,22,90383,
467,47,22,90378,
467,47,21,90375,
467,47,22,90379,
467,47,22,90384,
467,47,21,90384,
467,47,22,90380,
467,47,21,89350,
467,47,21,90379,
467,47,21,90378,
467,47,21,90384,
467,47,23,90376,
467,47,22,90382,
467,47,22,90370,
467,47,21,90374,
467,47,21,90375,
467,47,23,90373,
467,47,22,90377,
467,47,22,90376,
467,47,21,90381,
1102,50,936,43343,
1102,50,962,43289,
1102,50,952,43301,
1102,50,951,43318,
1102,50,953,43320,
1102,50,943,44349,
1102,50,937,43366,
1102,50,948,43357,
1102,50,960,43302,
1102,50,951,44356,
1102,50,957,43307,
1102,50,983,43327,
1102,50,954,43351,
1102,50,948,44359,
1102,50,949,43526,
1102,50,958,43310,
1102,50,951,49500,
1102,50,951,43344,
1102,50,950,49458,
1102,50,972,43330,
1102,50,962,44335,
1102,50,965,43312,
1102,50,950,44351,
1102,50,952,44371,
1102,50,972,44332,
1102,50,949,43307,
1102,50,962,43306,
1102,50,953,43310,
1102,50,960,43365,
1102,50,955,43341,
1244,50,10762,124260,
1244,50,10890,124265,
1244,50,10746,124249,
1244,50,10784,124266,
1244,50,10760,123223,
1244,50,10920,124258,
1244,50,11190,124265,
1244,50,10859,123220,
1244,50,10831,124268,
1244,50,10916,124262,
1244,50,10869,123240,
1244,50,10770,123242,
1244,50,10960,123219,
1244,50,10835,124242,
1244,50,11036,124259,
1244,50,10789,124265,
1244,50,10904,123239,
1244,50,10892,123239,
1244,50,10841,123249,
1244,50,10742,124264,
1244,50,10801,124270,
1244,50,10863,123234,
1244,50,11128,123239,
1244,50,10810,124244,
1244,50,10947,124267,
1244,50,11061,124237,
1244,50,10632,123240,
1244,50,10984,124271,
1244,50,10869,129380,
1244,50,10880,124260,
504,99,16,90378,
504,99,16,90378,
504,99,16,90379,
504,99,15,90376,
504,99,16,89355,
504,99,15,90371,
504,99,15,90371,
504,99,16,90381,
504,99,16,90381,
504,99,15,89348,
504,99,16,97548,
504,99,16,94473,
504,99,16,90380,
504,99,16,90379,
504,99,16,95496,
504,99,15,89351,
504,99,15,90376,
504,99,16,89356,
504,99,15,90380,
504,99,15,90383,
504,99,16,89356,
504,99,19,89361,
504,99,16,89359,
504,99,16,90385,
504,99,15,90374,
504,99,16,90379,
504,99,16,90381,
504,99,17,89356,
504,99,18,90382,
504,99,16,90379,
689,100,34,92419,
689,100,34,92424,
689,100,34,92422,
689,100,34,91402,
689,100,34,91403,
689,100,34,91409,
689,100,34,92428,
689,100,34,92427,
689,100,35,92427,
689,100,34,92427,
689,100,35,92424,
689,100,35,91398,
689,100,33,91407,
689,100,38,95494,
689,100,34,91411,
689,100,34,92422,
689,100,34,92424,
689,100,34,92433,
689,100,34,92429,
689,100,38,92434,
689,100,36,92429,
689,100,34,92429,
689,100,33,92420,
689,100,34,92429,
689,100,34,92430,
689,100,33,92424,
689,100,33,92426,
689,100,34,92427,
689,100,34,92429,
689,100,34,92422,
1627,100,4570,56646,
1627,100,4539,56659,
1627,100,4545,56647,
1627,100,4634,56621,
1627,100,4551,55634,
1627,100,4542,56640,
1627,100,4584,56644,
1627,100,4666,56645,
1627,100,4668,56613,
1627,100,4609,56657,
1627,100,4657,56680,
1627,100,4587,60747,
1627,100,4582,56623,
1627,100,4567,55619,
1627,100,4604,56651,
1627,100,4652,56618,
1627,100,4555,56618,
1627,100,4552,56622,
1627,100,4562,56640,
1627,100,4634,56621,
1627,100,4550,61754,
1627,100,4663,56644,
1627,100,4541,56617,
1627,100,4559,56639,
1627,100,4595,56652,
1627,100,4567,61755,
1627,100,4662,56673,
1627,100,4605,55632,
1627,100,4568,56632,
1627,100,4551,56655,
1794,100,75290,109952,
1794,100,76759,109940,
1794,100,75749,109929,
1794,100,76824,109961,
1794,100,79413,109931,
1794,100,76875,109948,
1794,100,78308,109909,
1794,100,75388,109945,
1794,100,78175,109930,
1794,100,76890,109951,
1794,100,77130,115064,
1794,100,76908,109949,
1794,100,76947,109942,
1794,100,77470,109947,
1794,100,76927,109952,
1794,100,76675,109932,
1794,100,76905,108914,
1794,100,77157,109946,
1794,100,76717,109935,
1794,100,78845,109944,
1794,100,78044,109950,
1794,100,76409,109958,
1794,100,77240,109936,
1794,100,77293,109965,
1794,100,77991,109949,
